Year,GDP
1990,59655932609124
1991,60170695121005
1992,60973422661034
1993,61911812366599
1994,63578969698531
1995,65564581101270
1996,68003210633466
1997,70689943948617
1998,72456565661300
1999,75077703230437
2000,78686230708143
2001,80592319778542
2002,82847121081074
2003,85909833585600
2004,90345665766089
2005,94500662250049
2006,99417130223697
2007,104612869733905
2008,107565079664721
2009,106878601743723
2010,112356258986889
2011,116792115186648
2012,120464391619854
2013,124406939304246
2014,128697476222904
2015,132968569072147
2016,137272012747644
2017,142505340699152
2018,147702373822992
2019,152076274136856
2020,147759549338760
2021,157355030398694
2022,163062160489274
2023,168686420963647
2024,174276382050097
