period,World – Primary energy supply – Total – Million toe – Annual (OECD/DP_LIVE/WLD.PRYENRGSUPPLY.TOT.MLN_TOE.A)
1960,NA
1961,NA
1962,NA
1963,NA
1964,NA
1965,NA
1966,NA
1967,NA
1968,NA
1969,NA
1970,NA
1971,5504.113
1972,5772.791
1973,6083.531
1974,6119.813
1975,6164.594
1976,6502.444
1977,6734.789
1978,6995.693
1979,7207.68
1980,7183.923
1981,7126.014
1982,7133.268
1983,7213.173
1984,7497.95
1985,7703.552
1986,7864.965
1987,8159.283
1988,8444.026
1989,8587.858
1990,8754.256
1991,8810.09
1992,8816.318
1993,8905.728
1994,8976.493
1995,9202.165
1996,9434.046
1997,9533.726
1998,9579.538
1999,9792.952
2000,10025.612
2001,10112.453
2002,10324.663
2003,10694.486
2004,11173.422
2005,11489.891
2006,11824.735
2007,12145.965
2008,12285.726
2009,12171.655
2010,12849.713
2011,13053.598
2012,13206.761
2013,13398.246
2014,13570.266
2015,13591.317
2016,13715.089
2017,14009.549
2018,14350.091
2019,14543.583
2020,14003.505
2021,14759.488
2022,NA
