scenario,metric,value
realized,hormuz_mbd,14.4
realized,russia_refining_mbd,1.4
realized,me_refining_mbd,3
realized,reserve_depletion_mbd,6.3
realized,total_mbd,25.1
realized,pct_of_world_oil,24.042145593869733
realized,pct_of_world_primary_energy,8.22224165138861
realized,implied_gwp_impact_pct,6.5202376295511675
severe,hormuz_mbd,18
severe,russia_refining_mbd,1.4
severe,me_refining_mbd,3
severe,reserve_depletion_mbd,6.3
severe,total_mbd,28.7
severe,pct_of_world_oil,27.490421455938694
severe,pct_of_world_primary_energy,9.301032455339124
severe,implied_gwp_impact_pct,7.3757187370839254
